Id,Category
83_3,6
83_4,5
84_1,3
84_2,6
84_3,4
84_4,5
85_1,3
85_2,5
85_3,4
85_4,9
85_5,7
85_6,2
85_7,6
85_8,12
85_9,1
85_10,3
86_1,8
86_2,10
86_3,4
86_4,9
86_5,7
86_6,2
86_7,1
86_8,6
86_9,5
86_10,6
87_1,1
87_2,3
87_3,4
87_4,6
88_1,6
88_2,8
88_3,5
88_4,4
88_5,9
88_6,1
88_7,3
88_8,2
89_1,10
89_2,9
89_3,5
89_4,2
90_1,12
90_2,1
90_3,4
90_4,2
91_1,1
91_2,3
91_3,4
91_4,2
92_1,6
92_2,8
92_3,10
92_4,5
92_5,4
92_6,9
92_7,2
92_8,3
92_9,1
93_1,7
93_2,11
93_3,6
93_4,3
94_1,7
94_2,11
94_3,3
94_4,4
95_1,6
95_2,8
95_3,5
95_4,4
95_5,1
95_6,3
95_7,2
96_1,12
96_2,3
96_3,6
96_4,10
96_5,5
96_6,4
96_7,2
96_8,1
97_1,1
97_2,3
98_1,6
98_2,8
98_3,5
98_4,4
98_5,3
98_6,2
98_7,3
99_1,3
99_2,6
99_3,8
99_4,5
99_5,4
99_6,5
99_7,2
100_1,12
100_2,3
100_3,6
100_4,10
100_5,5
100_6,4
100_7,2
100_8,1
101_1,1
101_2,3
102_1,1
102_2,3
102_3,8
102_4,10
102_5,2
102_6,6
102_7,5
102_8,4
103_1,3
103_2,6
103_3,10
103_4,4
103_5,2
103_6,1
104_1,3
104_2,6
104_3,1
104_4,4
105_1,6
105_2,5
105_3,3
105_4,4
106_1,1
106_2,3
106_3,8
106_4,10
106_5,5
106_6,2
106_7,6
106_8,4
107_1,9
107_2,7
107_3,1
107_4,3
108_1,1
108_2,3
108_3,8
108_4,10
108_5,2
108_6,4
108_7,5
108_8,6
109_1,4
109_2,9
109_3,3
109_4,2
110_1,11
110_2,2
110_3,1
110_4,4
111_1,4
111_2,9
111_3,3
111_4,1
